Data tragerii->,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
397,25,24,27,17,29,20
398,22,37,27,45,43,40
399,14,26,48,43,40,10
400,36,7,11,15,48,8
401,10,29,6,19,38,45
402,21,41,49,30,31,2
403,42,23,35,44,32,1
404,21,41,15,5,6,45
405,32,36,47,49,18,7
406,49,6,27,20,26,28
407,44,9,41,1,49,5
408,38,22,27,24,30,21
409,39,48,1,43,40,31
410,6,19,44,33,37,2
411,10,36,23,12,28,46
412,27,17,30,8,13,16
413,11,17,15,49,33,6
414,4,42,46,43,5,35
415,13,37,44,25,21,49
416,40,4,8,10,1,12
417,40,22,5,33,2,32
418,28,39,40,25,32,31
419,28,36,33,22,43,37
420,43,45,34,27,12,23
421,17,2,47,40,22,19
422,34,41,3,12,16,2
423,8,5,16,26,31,17
424,9,39,16,3,44,24
425,25,16,5,46,35,6
426,14,17,24,8,21,1
427,20,27,26,28,41,3
428,30,40,39,36,18,19
429,45,4,8,44,27,9
430,26,17,19,30,20,23
431,28,11,9,24,47,3
432,39,13,1,24,32,42
433,9,23,28,35,18,45
434,44,41,16,13,15,31
435,7,16,18,8,33,14
436,45,31,13,30,18,4
437,44,6,3,11,15,33
438,4,25,28,48,38,9
439,43,20,12,40,46,13
440,28,6,12,16,34,31
441,39,38,43,40,48,20
442,2,26,20,5,14,42
443,9,49,25,36,38,24
444,21,39,16,6,25,10
445,3,6,39,45,26,21
446,8,10,9,45,27,16
447,27,26,15,10,48,23
448,35,36,32,40,23,4
449,4,8,49,42,11,9
450,2,45,8,22,18,27
451,29,39,40,42,10,14
452,35,13,33,27,16,5
453,27,34,37,8,1,22
454,27,13,41,7,1,16
455,20,37,26,31,36,17
456,23,43,30,44,26,10
457,21,47,46,36,23,13
458,36,43,47,11,2,33
459,25,7,11,6,15,34
460,18,13,19,5,29,8
461,3,38,34,17,12,5
462,47,30,5,28,48,12
463,8,47,3,13,14,23
464,29,36,13,17,27,46
465,12,38,27,35,30,6
466,47,11,17,35,3,29
467,40,27,26,30,12,11
468,47,4,18,20,2,6
469,26,39,17,10,43,19
470,49,1,14,45,18,42
471,29,48,34,12,36,8
472,34,9,46,37,3,2
473,28,9,18,3,43,37
474,41,39,33,3,16,9
475,8,12,47,40,6,30
476,34,4,2,3,35,46
477,2,42,39,22,34,43
478,9,23,45,21,13,4
479,23,15,11,47,35,29
480,48,9,1,30,5,14
481,4,39,27,23,1,15
482,10,33,6,4,7,36
483,25,1,13,23,37,7
484,48,10,36,2,27,23
485,36,33,30,4,17,25
486,36,35,3,24,31,8
487,4,18,31,8,38,42
488,33,24,4,40,12,18
489,4,34,12,25,40,1
490,46,18,20,14,48,5
491,38,14,5,21,31,12
492,16,48,17,46,22,10
493,23,3,34,27,42,39
494,43,1,13,25,12,19
495,44,3,35,13,28,25
496,17,43,25,21,8,10
497,3,24,4,37,44,9
498,13,37,26,17,28,16
499,45,12,31,32,35,14
500,20,27,30,31,49,39
501,15,23,8,36,5,47
502,12,49,38,39,45,29
503,46,27,44,5,16,42
504,43,20,2,8,31,30
505,25,38,41,1,10,36
506,28,18,48,40,45,31
507,7,1,15,36,34,30
508,31,49,45,37,17,16
509,39,26,42,38,10,28
510,39,21,49,26,11,27
511,5,36,3,35,32,2
512,26,1,28,12,49,24
513,12,27,15,9,33,44
514,22,24,11,19,35,30
515,40,11,18,33,20,14
516,36,8,20,34,32,30
517,41,49,5,20,14,1
518,43,35,25,6,16,8
519,15,33,32,47,17,11
520,16,38,30,42,8,1
521,30,24,3,12,10,42
522,10,27,34,12,9,31
523,40,45,6,39,9,14
524,7,21,36,19,1,16
525,27,3,10,29,5,9
526,1,17,27,19,44,9
527,12,19,9,1,40,5
528,26,40,35,39,37,5
529,3,38,31,39,5,29
530,27,17,10,4,19,43
531,29,3,34,39,26,36
532,47,13,7,30,42,19
