Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
356,40,33,15,1,11,25
357,11,10,38,35,16,28
358,40,2,1,10,4,26
359,22,14,34,12,19,31
360,23,25,22,3,8,36
361,35,9,19,32,10,11
362,9,39,1,10,36,32
363,8,33,17,6,27,26
364,12,8,13,29,40,17
365,22,34,15,14,35,10
366,16,22,31,37,14,21
367,33,25,24,5,7,37
368,22,18,38,24,37,23
369,32,36,3,18,35,26
370,12,10,7,38,18,15
371,20,33,18,25,6,3
372,13,7,11,26,29,9
373,2,26,32,31,3,12
374,20,33,12,29,14,35
375,24,37,34,5,26,39
376,10,31,37,4,13,26
377,21,33,17,18,2,29
378,6,39,14,34,38,1
379,23,40,22,12,34,37
380,27,25,14,15,11,23
381,39,3,37,27,30,40
382,37,15,31,22,40,17
383,22,29,38,8,21,19
384,6,12,17,36,33,35
385,27,1,28,30,2,34
386,12,33,8,36,20,38
387,3,12,5,6,23,40
388,40,25,39,24,9,5
389,17,13,28,6,29,16
390,36,28,2,34,38,9
391,19,11,23,2,37,35
392,18,28,21,35,14,36
393,7,26,30,22,13,2
394,33,28,17,37,4,12
395,26,1,2,35,4,21
396,35,20,3,15,1,30
397,28,16,22,5,1,6
398,27,22,39,38,29,26
399,39,22,23,30,35,28
400,2,28,37,8,29,13
401,15,12,40,29,4,35
402,6,38,4,30,32,27
403,23,31,6,15,24,20
404,27,5,30,36,28,22
405,23,11,12,15,35,18
406,38,31,7,18,27,20
407,1,22,26,17,10,29
408,16,36,19,29,14,18
409,15,9,33,36,30,5
410,29,8,9,20,39,23
411,16,30,17,19,14,10
412,13,17,24,5,35,14
413,20,16,29,5,4,40
414,21,22,20,18,25,24
415,27,38,23,29,15,32
416,8,40,11,28,27,13
417,29,4,7,14,15,13
418,13,28,22,38,32,15
419,15,1,25,17,13,10
420,30,5,25,11,6,21
421,17,20,7,33,29,31
422,11,6,18,35,22,28
423,25,26,2,15,32,40
424,12,38,28,40,19,18
425,15,36,17,28,37,27
426,10,29,35,25,8,6
427,25,6,29,7,40,28
428,6,3,22,32,12,8
429,37,19,3,33,27,22
430,33,20,34,17,12,25
431,14,25,1,31,12,13
432,27,2,26,22,12,1
433,28,5,6,1,39,37
434,19,11,35,16,18,4
435,34,37,12,22,33,14
436,12,14,22,23,2,30
437,28,1,33,20,6,37
438,25,27,23,9,15,5
439,3,24,31,36,18,30
440,20,28,31,9,22,37
441,2,13,21,7,3,27
442,29,24,18,1,8,28
443,13,7,5,1,28,25
444,3,8,36,5,25,28
445,24,39,33,5,13,37
446,19,8,4,1,11,18
447,26,29,3,9,4,30
448,13,29,5,20,21,35
449,34,16,6,11,17,29
450,2,34,11,16,9,22
451,22,34,20,2,15,17
452,10,32,39,40,3,37
453,35,10,24,26,32,23
454,12,22,18,32,17,36
455,25,40,15,34,35,39
456,7,30,10,33,24,32
457,22,4,8,15,21,6
458,7,18,27,3,8,4
459,19,39,27,22,8,16
460,11,37,34,25,26,15
461,16,34,24,14,29,10
462,18,13,17,27,4,38
463,9,5,20,29,28,17
464,3,24,25,5,27,37
465,36,37,32,34,23,6
466,17,29,40,9,32,33
467,7,33,12,27,16,32
468,2,34,15,29,5,24
469,18,14,11,23,29,20
470,31,19,14,16,40,3
471,15,28,6,16,3,32
472,16,34,37,13,40,12
473,22,12,24,39,21,13
474,20,26,1,3,14,2
475,4,7,1,15,39,16
476,24,13,21,32,2,26
477,31,24,30,3,18,38
478,9,36,5,21,30,4
